ASC_main;run_1;run_2;run_3;run_4;run_5;run_6;run_7;run_8;run_9;run_10;run_11;run_12;run_13;run_14;run_15;run_16;run_17;run_18;run_19;run_20;run_21;run_22;run_23;run_24;run_25;run_26;run_27;run_28;run_29;run_30
smcn_adam_c10_I;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526309945.492334;finished;finished;finished;finished;running 1526309115.7155018;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_I;finished;finished;finished;finished;finished;finished;running 1526309145.606513;finished;finished;running 1526310435.074135;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526310920.8328125;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_relu;finished;finished;finished;finished;finished;finished;finished;running 1526309235.8403442;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_relu;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526307570.904712
smcn_adam_c10_tanh;finished;finished;finished;finished;finished;running 1526309617.9091792;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_tanh;finished;finished;finished;finished;finished;finished;finished;finished;running 1526310024.2343605;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_elu;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_elu;running 1526309783.1895213;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526310062.8391635;finished;finished;finished;running 1526308868.2774413;finished;finished;finished;finished;finished;finished;running 1526307364.871673;finished;finished;finished;finished
smcn_adam_c10_selu;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526309721.8423421;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_selu;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_swish;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_swish;finished;finished;running 1526307173.3492339;running 1526310401.4314837;finished;finished;finished;finished;finished;finished;finished;finished;running 1526307650.2193913;finished;finished;finished;finished;running 1526307731.4060671;finished;finished;finished;finished;finished;finished;running 1526307603.8984752;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_TERIS;finished;finished;running 1526307633.677452;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526308462.629798;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_N_TERIS;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526311143.9117284;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;running 1526309175.2560875;running 1526312395.2145982
smcn_adam_c10_ABU_P_TERIS;finished;finished;finished;running 1526308895.2116115;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
